Raman Shift (1/cm),Intensity (Counts)
302.468,2651
302.977,2684
303.486,2693
303.995,2686
304.503,2659
305.012,2645
305.521,2675
306.03,2654
306.538,2691
307.047,2652
307.556,2705
308.064,2706
308.573,2706
309.082,2620
309.59,2710
310.097,2665
310.605,2641
311.114,2667
311.622,2715
312.13,2626
312.639,2622
313.147,2703
313.655,2670
314.164,2666
314.672,2664
315.18,2695
315.686,2687
316.195,2616
316.703,2721
317.211,2719
317.719,2684
318.227,2724
318.735,2678
319.241,2659
319.749,2666
320.257,2619
320.765,2650
321.273,2712
321.781,2701
322.287,2681
322.794,2726
323.302,2684
323.81,2673
324.318,2697
324.823,2628
325.331,2693
325.839,2677
326.346,2722
326.852,2668
327.359,2712
327.867,2724
328.374,2674
328.88,2696
329.387,2677
329.895,2655
330.402,2713
330.907,2706
331.415,2730
331.922,2667
332.429,2699
332.935,2676
333.442,2695
333.949,2685
334.454,2722
334.961,2671
335.468,2739
335.973,2704
336.481,2706
336.988,2741
337.493,2751
338,2710
338.506,2724
339.011,2688
339.518,2670
340.023,2650
340.53,2722
341.037,2766
341.541,2681
342.048,2698
342.555,2720
343.06,2761
343.566,2679
344.071,2761
344.577,2750
345.082,2790
345.589,2711
346.095,2690
346.6,2722
347.106,2751
347.61,2732
348.117,2727
348.621,2772
349.128,2753
349.632,2789
350.138,2742
350.642,2777
351.149,2735
351.653,2704
352.159,2741
352.663,2766
353.169,2740
353.673,2726
354.179,2767
354.683,2745
355.189,2755
355.693,2745
356.199,2735
356.703,2721
357.209,2728
357.713,2717
358.219,2742
358.723,2759
359.226,2720
359.732,2756
360.236,2746
360.742,2799
361.245,2690
361.751,2703
362.255,2742
362.758,2795
363.264,2750
363.767,2742
364.271,2744
364.776,2759
365.28,2711
365.785,2735
366.289,2814
366.792,2796
367.297,2754
367.801,2759
368.304,2761
368.809,2753
369.312,2754
369.815,2783
370.321,2791
370.824,2811
371.327,2776
371.83,2769
372.335,2788
372.838,2755
373.341,2776
373.846,2783
374.349,2743
374.852,2775
375.355,2775
375.86,2773
376.362,2782
376.865,2764
377.368,2761
377.873,2732
378.376,2772
378.878,2727
379.381,2794
379.883,2779
380.388,2712
380.891,2772
381.393,2782
381.896,2769
382.398,2753
382.903,2772
383.405,2740
383.908,2788
384.41,2776
384.912,2812
385.415,2742
385.919,2752
386.421,2753
386.923,2821
387.426,2806
387.928,2795
388.43,2828
388.932,2807
389.434,2853
389.938,2858
390.44,2832
390.942,2837
391.444,2872
391.946,2819
392.448,2835
392.95,2838
393.452,2791
393.954,2850
394.456,2768
394.958,2925
395.459,2840
395.961,2887
396.463,2855
396.965,2930
397.466,2894
397.968,2851
398.469,2939
398.971,2920
399.473,2911
399.974,2918
400.476,2868
400.977,2902
401.479,2917
401.98,2909
402.481,2865
402.983,2904
403.484,2891
403.985,2862
404.487,2900
404.988,2875
405.489,2906
405.99,2861
406.491,2910
406.993,2836
407.494,2840
407.995,2861
408.496,2888
408.995,2871
409.496,2854
409.997,2841
410.498,2800
410.999,2850
411.5,2863
412,2797
412.501,2817
413.002,2801
413.501,2823
414.002,2883
414.502,2784
415.003,2818
415.504,2824
416.004,2877
416.503,2819
417.004,2838
417.504,2838
418.005,2844
418.505,2885
419.004,2825
419.504,2837
420.004,2849
420.505,2822
421.003,2855
421.504,2839
422.004,2832
422.504,2817
423.004,2818
423.503,2858
424.003,2843
424.503,2875
425.001,2800
425.501,2861
426.001,2832
426.501,2805
426.999,2869
427.499,2834
427.999,2833
428.497,2907
428.997,2903
429.497,2864
429.995,2781
430.495,2850
430.995,2841
431.493,2820
431.992,2853
432.492,2818
432.99,2829
433.489,2861
433.989,2835
434.487,2852
434.986,2883
435.486,2883
435.983,2853
436.483,2862
436.98,2838
437.48,2878
437.977,2911
438.477,2897
438.976,2820
439.473,2886
439.973,2939
440.47,2911
440.969,2866
441.467,2969
441.966,2860
442.465,2933
442.962,2896
443.461,2904
443.958,2906
444.457,2879
444.954,2860
445.453,2890
445.95,2842
446.449,2838
446.946,2860
447.445,2852
447.942,2867
448.441,2810
448.938,2856
449.437,2847
449.933,2884
450.43,2820
450.929,2874
451.426,2875
451.924,2811
452.421,2809
452.92,2834
453.416,2871
453.913,2852
454.411,2814
454.908,2867
455.406,2831
455.903,2813
456.399,2853
456.897,2896
457.394,2873
457.892,2862
458.388,2863
458.885,2854
459.383,2901
459.879,2886
460.375,2875
460.874,2912
461.37,2847
461.866,2848
462.364,2856
462.86,2868
463.356,2880
463.854,2863
464.35,2867
464.846,2901
465.342,2857
465.84,2862
466.336,2873
466.832,2871
467.329,2898
467.825,2903
468.321,2886
468.817,2889
469.314,2892.67
469.81,2889.22
470.306,2890.3
470.801,2890.73
471.297,2890.08
471.795,2890.37
472.29,2890.39
472.786,2890.28
473.281,2890.35
473.779,2908.88
474.274,2908.8
474.769,2964.49
475.265,2890
475.76,2889
476.256,2866
476.753,2910
477.248,2880
477.743,2852
478.239,2923
478.734,2852
479.229,2852
479.724,2881
480.221,2904
480.716,2852
481.211,2931
481.706,2881
482.201,2892
482.696,2878
483.191,2922
483.686,2874
484.181,2924
484.676,2947
485.171,2857
485.668,2897
486.163,2890
486.657,2913
487.152,2899
487.647,2901
488.141,2925
488.636,2837
489.131,2889
489.625,2909
490.12,2870
490.614,2906
491.109,2896
491.603,2954
492.098,2882
492.592,2897
493.087,2855
493.581,2897
494.076,2894
494.57,2889
495.064,2899
495.559,2917
496.053,2888
496.547,2915
497.041,2874
497.533,2873
498.027,2870
498.522,2943
499.016,2916
499.51,2899
500.004,2885
500.498,2918
500.992,2904
501.486,2892
501.98,2940
502.472,2940
502.965,2904
503.459,2956
503.953,2884
504.447,2922
504.941,2937
505.434,2935
505.926,2905
506.42,2930
506.913,2931
507.407,2899
507.901,2974
508.394,2934
508.886,2930
509.379,2972
509.873,2920
510.366,2910
510.86,2916
511.351,2980
511.845,2943
512.338,2974
512.831,2850
513.323,2925
513.816,3000
514.309,2981
514.802,2926
515.294,2926
515.787,2913
516.28,2944
516.771,2934
517.264,2929
517.757,2934
518.25,2891
518.741,2897
519.234,2937
519.727,2949
520.218,2868
520.711,2978
521.204,2923
521.695,2950
522.188,2891
522.681,2944
523.171,2870
523.664,2975
524.157,2902
524.647,2954
525.14,2885
525.631,2912
526.123,3009
526.616,2975
527.107,2956
527.599,3001
528.09,2953
528.582,2949
529.075,2971
529.565,3016
530.057,2965
530.548,3027
531.04,3032
531.53,3014
532.023,3105
532.515,3064
533.005,3087
533.497,3165
533.988,3182
534.48,3121
534.97,3168
535.462,3117
535.952,3155
536.444,3107
536.934,3074
537.426,3017
537.916,3023
538.408,3055
538.898,3007
539.388,3084
539.88,3083
540.37,2995
540.862,3019
541.351,3076
541.843,3037
542.333,3011
542.825,3065
543.314,3119
543.804,3100
544.296,3156
544.785,3269
545.277,3297
545.766,3333
546.256,3399
546.747,3323
547.237,3285
547.726,3231
548.218,3187
548.707,3196
549.198,3104
549.688,3115
550.177,3118
550.668,3114
551.158,3017
551.647,3024
552.136,3001
552.627,3007
553.116,3093
553.606,3004
554.097,2972
554.586,2980
555.075,2970
555.566,2998
556.055,3026
556.544,2983
557.033,2922
557.524,2981
558.013,2931
558.501,3002
558.99,3013
559.481,2970
