Raman Shift (1/cm),Intensity (Counts)
302.468,1185
302.977,1183
303.486,1192
303.995,1200
304.503,1170
305.012,1189
305.521,1184
306.03,1194
306.538,1184
307.047,1186
307.556,1210
308.064,1183
308.573,1199
309.082,1190
309.59,1202
310.097,1187
310.605,1184
311.114,1196
311.622,1188
312.13,1178
312.639,1195
313.147,1209
313.655,1186
314.164,1198
314.672,1199
315.18,1202
315.686,1188
316.195,1205
316.703,1190
317.211,1192
317.719,1202
318.227,1174
318.735,1198
319.241,1196
319.749,1200
320.257,1171
320.765,1190
321.273,1197
321.781,1194
322.287,1192
322.794,1176
323.302,1204
323.81,1195
324.318,1193
324.823,1190
325.331,1188
325.839,1193
326.346,1207
326.852,1189
327.359,1190
327.867,1182
328.374,1180
328.88,1196
329.387,1200
329.895,1188
330.402,1192
330.907,1206
331.415,1185
331.922,1201
332.429,1189
332.935,1188
333.442,1199
333.949,1170
334.454,1192
334.961,1194
335.468,1196
335.973,1201
336.481,1194
336.988,1198
337.493,1166
338,1201
338.506,1191
339.011,1191
339.518,1192
340.023,1203
340.53,1192
341.037,1193
341.541,1201
342.048,1206
342.555,1213
343.06,1188
343.566,1218
344.071,1202
344.577,1216
345.082,1186
345.589,1191
346.095,1189
346.6,1204
347.106,1200
347.61,1206
348.117,1194
348.621,1192
349.128,1201
349.632,1197
350.138,1190
350.642,1204
351.149,1200
351.653,1190
352.159,1188
352.663,1205
353.169,1209
353.673,1176
354.179,1200
354.683,1178
355.189,1190
355.693,1202
356.199,1211
356.703,1197
357.209,1168
357.713,1182
358.219,1184
358.723,1214
359.226,1179
359.732,1194
360.236,1195
360.742,1210
361.245,1199
361.751,1204
362.255,1211
362.758,1221
363.264,1189
363.767,1192
364.271,1175
364.776,1196
365.28,1197
365.785,1200
366.289,1200
366.792,1192
367.297,1211
367.801,1201
368.304,1202
368.809,1182
369.312,1202
369.815,1204
370.321,1214
370.824,1182
371.327,1205
371.83,1186
372.335,1192
372.838,1210
373.341,1214
373.846,1214
374.349,1190
374.852,1210
375.355,1204
375.86,1197
376.362,1204
376.865,1194
377.368,1223
377.873,1201
378.376,1207
378.878,1182
379.381,1190
379.883,1184
380.388,1203
380.891,1206
381.393,1195
381.896,1201
382.398,1184
382.903,1200
383.405,1201
383.908,1203
384.41,1214
384.912,1189
385.415,1200
385.919,1209
386.421,1197
386.923,1222
387.426,1212
387.928,1202
388.43,1212
388.932,1204
389.434,1204
389.938,1190
390.44,1198
390.942,1210
391.444,1211
391.946,1215
392.448,1215
392.95,1201
393.452,1205
393.954,1192
394.456,1221
394.958,1219
395.459,1221
395.961,1221
396.463,1210
396.965,1211
397.466,1214
397.968,1218
398.469,1206
398.971,1212
399.473,1220
399.974,1231
400.476,1204
400.977,1234
401.479,1220
401.98,1227
402.481,1212
402.983,1222
403.484,1213
403.985,1230
404.487,1204
404.988,1218
405.489,1220
405.99,1216
406.491,1206
406.993,1194
407.494,1216
407.995,1221
408.496,1214
408.995,1217
409.496,1214
409.997,1208
410.498,1194
410.999,1203
411.5,1212
412,1192
412.501,1210
413.002,1226
413.501,1222
414.002,1222
414.502,1194
415.003,1206
415.504,1232
416.004,1191
416.503,1227
417.004,1215
417.504,1216
418.005,1202
418.505,1214
419.004,1213
419.504,1199
420.004,1198
420.505,1204
421.003,1212
421.504,1207
422.004,1202
422.504,1213
423.004,1206
423.503,1222
424.003,1202
424.503,1192
425.001,1205
425.501,1216
426.001,1192
426.501,1202
426.999,1178
427.499,1190
427.999,1196
428.497,1213
428.997,1220
429.497,1203
429.995,1216
430.495,1216
430.995,1220
431.493,1214
431.992,1193
432.492,1200
432.99,1203
433.489,1212
433.989,1215
434.487,1216
434.986,1217
435.486,1202
435.983,1216
436.483,1210
436.98,1194
437.48,1206
437.977,1232
438.477,1215
438.976,1206
439.473,1204
439.973,1206
440.47,1201
440.969,1219
441.467,1217
441.966,1220
442.465,1236
442.962,1226
443.461,1207
443.958,1200
444.457,1200
444.954,1197
445.453,1206
445.95,1214
446.449,1215
446.946,1208
447.445,1216
447.942,1205
448.441,1208
448.938,1189
449.437,1188
449.933,1208
450.43,1218
450.929,1180
451.426,1206
451.924,1215
452.421,1196
452.92,1226
453.416,1214
453.913,1206
454.411,1219
454.908,1204
455.406,1225
455.903,1206
456.399,1225
456.897,1204
457.394,1227
457.892,1206
458.388,1220
458.885,1177
459.383,1237
459.879,1191
460.375,1209
460.874,1222
461.37,1208
461.866,1230
462.364,1234
462.86,1202
463.356,1213
463.854,1226
464.35,1216
464.846,1222
465.342,1204
465.84,1203
466.336,1225
466.832,1211
467.329,1221
467.825,1217
468.321,1228
468.817,1226
469.314,1225
469.81,1256
470.306,1235.67
470.801,1238.89
471.297,1243.52
471.795,1239.36
472.29,1240.59
472.786,1241.16
473.281,1240.37
473.779,1240.7
474.274,1243.06
474.769,1239.63
475.265,1250
475.76,1224
476.256,1229
476.753,1219
477.248,1220
477.743,1209
478.239,1225
478.734,1209
479.229,1202
479.724,1229
480.221,1223
480.716,1218
481.211,1220
481.706,1216
482.201,1217
482.696,1206
483.191,1226
483.686,1216
484.181,1216
484.676,1218
485.171,1206
485.668,1212
486.163,1210
486.657,1220
487.152,1204
487.647,1213
488.141,1222
488.636,1208
489.131,1224
489.625,1221
490.12,1210
490.614,1205
491.109,1221
491.603,1192
492.098,1233
492.592,1219
493.087,1201
493.581,1213
494.076,1220
494.57,1212
495.064,1210
495.559,1211
496.053,1230
496.547,1204
497.041,1230
497.533,1234
498.027,1228
498.522,1222
499.016,1222
499.51,1197
500.004,1213
500.498,1220
500.992,1230
501.486,1239
501.98,1203
502.472,1206
502.965,1216
503.459,1210
503.953,1213
504.447,1206
504.941,1211
505.434,1229
505.926,1221
506.42,1216
506.913,1229
507.407,1227
507.901,1225
508.394,1218
508.886,1212
509.379,1252
509.873,1240
510.366,1226
510.86,1218
511.351,1215
511.845,1218
512.338,1212
512.831,1218
513.323,1221
513.816,1222
514.309,1208
514.802,1215
515.294,1215
515.787,1208
516.28,1227
516.771,1214
517.264,1222
517.757,1236
518.25,1220
518.741,1210
519.234,1216
519.727,1220
520.218,1205
520.711,1212
521.204,1204
521.695,1211
522.188,1216
522.681,1215
523.171,1214
523.664,1215
524.157,1226
524.647,1220
525.14,1217
525.631,1213
526.123,1214
526.616,1223
527.107,1243
527.599,1209
528.09,1220
528.582,1214
529.075,1236
529.565,1206
530.057,1245
530.548,1224
531.04,1229
531.53,1263
532.023,1236
532.515,1241
533.005,1230
533.497,1238
533.988,1240
534.48,1259
534.97,1263
535.462,1241
535.952,1248
536.444,1251
536.934,1244
537.426,1241
537.916,1236
538.408,1250
538.898,1252
539.388,1236
539.88,1230
540.37,1248
540.862,1243
541.351,1222
541.843,1220
542.333,1231
542.825,1252
543.314,1236
543.804,1267
544.296,1248
544.785,1273
545.277,1269
545.766,1282
546.256,1305
546.747,1285
547.237,1272
547.726,1290
548.218,1257
548.707,1250
549.198,1258
549.688,1236
550.177,1246
550.668,1254
551.158,1237
551.647,1234
552.136,1241
552.627,1230
553.116,1236
553.606,1249
554.097,1227
554.586,1231
555.075,1226
555.566,1224
556.055,1224
556.544,1210
557.033,1234
557.524,1224
558.013,1227
558.501,1230
558.99,1236
559.481,1234
559.97,1219
560.459,1234
560.947,1229
561.436,1227
561.927,1194
562.415,1231
562.904,1223
563.393,1238
563.881,1228
564.372,1230
564.86,1250
565.349,1224
565.837,1221
566.326,1224
566.814,1226
567.304,1243
567.793,1241
568.281,1256
568.769,1224
569.258,1202
569.746,1210
570.234,1216
570.722,1237
571.211,1228
571.701,1216
572.189,1218
572.677,1232
573.165,1221
573.653,1228
574.141,1211
574.629,1229
575.117,1223
575.605,1235
576.093,1206
576.581,1232
577.069,1231
577.557,1230
578.044,1206
578.532,1229
579.02,1217
579.508,1234
579.995,1221
580.483,1233
580.971,1224
581.458,1239
581.946,1231
582.433,1208
582.921,1232
583.409,1227
583.896,1227
584.383,1238
584.871,1217
585.358,1226
585.846,1236
586.333,1232
586.82,1244
587.306,1222
587.793,1229
588.28,1229
588.768,1242
589.255,1238
589.742,1223
590.229,1240
590.716,1210
591.203,1223
591.688,1224
592.175,1226
592.662,1231
593.149,1242
593.636,1230
594.123,1226
594.608,1244
595.095,1251
595.582,1261
596.069,1242
596.556,1277
597.043,1279
597.527,1292
598.014,1274
598.501,1278
598.987,1262
599.472,1254
599.959,1222
600.445,1259
600.932,1230
601.416,1217
601.903,1248
602.389,1226
602.876,1218
603.36,1224
603.847,1238
604.333,1237
604.82,1225
605.304,1206
605.79,1224
606.277,1224
606.761,1221
607.247,1223
607.733,1224
608.217,1214
608.704,1236
609.19,1238
609.674,1207
610.16,1229
610.646,1226
611.13,1241
611.616,1209
612.1,1241
612.586,1220
613.072,1222
613.556,1214
614.042,1226
614.526,1231
615.011,1224
615.497,1223
615.981,1207
616.467,1210
616.95,1241
617.436,1236
617.92,1214
618.405,1228
618.891,1220
619.375,1212
619.86,1219
620.344,1247
620.829,1228
621.313,1219
621.798,1224
622.282,1209
622.767,1211
623.25,1225
623.736,1244
624.219,1214
624.704,1222
625.188,1227
625.673,1216
626.156,1220
626.639,1229
627.125,1216
627.608,1233
628.093,1234
628.576,1220
629.061,1225
629.544,1246
630.027,1228
630.512,1234
630.995,1218
631.48,1224
631.963,1222
632.446,1206
632.931,1212
633.414,1213
633.898,1210
634.381,1226
634.864,1246
635.349,1212
635.831,1226
636.314,1241
636.799,1240
637.281,1218
637.764,1224
638.249,1216
638.731,1233
639.214,1227
639.696,1200
640.181,1234
640.663,1216
641.146,1215
641.63,1221
642.112,1215
642.595,1208
643.077,1227
643.561,1228
644.044,1222
644.526,1248
645.008,1243
645.492,1230
645.974,1218
646.456,1238
646.939,1224
647.421,1228
647.905,1234
648.387,1210
648.869,1209
649.351,1210
649.833,1233
650.317,1226
650.799,1223
651.281,1236
651.762,1236
652.244,1220
652.726,1242
653.208,1226
653.692,1220
654.173,1222
654.655,1230
655.137,1222
655.618,1243
656.1,1251
656.582,1230
657.063,1240
657.545,1232
658.028,1231
658.51,1239
658.991,1230
659.473,1241
659.954,1230
660.436,1226
660.917,1237
661.398,1216
661.88,1226
662.361,1246
662.842,1206
663.323,1245
663.805,1220
664.286,1219
664.767,1241
665.248,1239
665.729,1244
666.21,1232
666.691,1229
667.172,1236
667.654,1205
668.134,1236
668.615,1236
669.096,1243
669.577,1248
670.058,1244
670.539,1240
671.018,1238
671.499,1227
671.979,1231
672.46,1234
672.941,1238
673.422,1224
673.902,1249
674.383,1219
674.864,1225
675.344,1247
675.823,1240
676.303,1232
676.784,1232
677.264,1247
677.745,1224
678.225,1240
678.704,1227
679.184,1243
679.665,1223
680.145,1247
680.625,1215
681.104,1220
681.584,1231
682.064,1238
682.544,1235
683.025,1230
683.503,1251
683.983,1230
684.463,1238
684.943,1231
685.421,1238
685.901,1219
686.381,1232
686.861,1234
687.339,1214
687.819,1210
688.299,1222
688.779,1231
689.257,1227
689.737,1212
690.217,1224
690.694,1221
691.174,1246
691.654,1243
692.132,1238
692.611,1237
693.091,1242
693.569,1236
694.048,1228
694.528,1243
695.005,1239
695.485,1228
695.962,1230
696.442,1241
696.921,1237
697.399,1240
697.878,1261
698.356,1228
698.835,1242
699.314,1256
699.792,1226
700.271,1221
700.748,1228
701.227,1222
701.705,1230
702.184,1250
702.663,1234
703.14,1245
703.619,1228
704.096,1230
704.575,1238
705.052,1232
705.531,1228
706.008,1224
706.487,1246
706.964,1218
707.443,1235
707.92,1239
708.399,1226
708.876,1232
709.353,1238
709.831,1228
710.308,1256
710.787,1253
711.264,1236
711.742,1237
712.219,1230
712.698,1204
713.174,1234
713.651,1236
714.129,1243
714.606,1250
715.084,1242
715.561,1225
716.037,1227
716.516,1250
716.992,1245
717.468,1232
717.947,1248
718.423,1224
718.899,1235
719.378,1210
719.854,1229
720.33,1245
720.808,1232
721.285,1218
721.761,1224
722.239,1208
722.715,1245
723.191,1232
723.667,1232
724.145,1238
724.621,1214
725.097,1234
725.575,1242
726.051,1242
726.527,1240
727.003,1226
727.481,1240
727.956,1230
728.432,1233
728.908,1229
729.384,1219
729.862,1239
730.337,1244
730.813,1212
731.289,1245
731.764,1250
732.242,1230
732.717,1251
733.193,1252
733.668,1236
734.144,1216
734.619,1231
735.097,1249
735.572,1247
736.048,1229
736.523,1232
736.998,1246
737.474,1226
737.949,1237
738.424,1228
738.9,1236
739.377,1233
739.852,1226
740.327,1224
740.802,1232
741.278,1247
741.753,1240
742.228,1231
742.703,1235
743.178,1229
743.653,1256
744.128,1212
744.603,1244
745.078,1236
745.553,1230
746.027,1250
746.502,1232
746.977,1245
747.452,1239
747.927,1247
748.401,1252
748.876,1242
749.351,1242
749.826,1233
750.3,1240
750.775,1260
751.249,1260
751.724,1230
752.199,1246
752.673,1260
753.148,1237
753.62,1239
754.095,1252
754.569,1256
755.043,1255.74
755.518,1235.66
755.992,1244.91
756.466,1242.15
756.941,1249.49
757.415,1250.6
757.887,1229.51
758.362,1231.83
758.836,1244.2
759.31,1245.4
759.784,1254.23
760.258,1249.61
760.73,1226.93
761.204,1240.97
761.678,1242.94
762.152,1249.34
762.626,1254.83
763.098,1253.16
763.572,1231.29
764.046,1232.36
764.52,1222.12
764.994,1234.42
765.466,1248.25
765.94,1251.18
766.414,1249.86
766.887,1244.57
767.359,1234.7
767.833,1250.29
768.307,1247.06
768.778,1245.04
769.252,1240.05
769.726,1238.36
770.199,1258.2
770.671,1238.17
771.144,1232.58
771.618,1244.08
772.089,1243.98
772.563,1248.17
773.036,1248.29
773.508,1226.45
773.981,1224.24
774.455,1226.66
774.926,1237.88
775.399,1233.8
775.873,1237.33
776.344,1240.22
776.817,1255.32
777.288,1247.67
777.762,1239.04
778.235,1240.6
778.706,1251.24
779.179,1250.77
779.65,1249.12
780.123,1258.79
780.596,1270.62
781.068,1286.38
781.541,1293.13
782.012,1296.17
782.484,1305.46
782.955,1297.41
783.428,1283.44
783.899,1308.06
784.372,1286.17
784.843,1279.63
785.316,1279.51
785.789,1284.39
786.259,1286.47
786.732,1278.8
787.203,1291.94
787.674,1294.93
788.146,1306.26
788.617,1308.97
789.089,1320.12
789.56,1343.02
790.033,1364.52
790.503,1365.53
790.976,1350.15
791.446,1341.64
791.919,1329.54
792.389,1325.61
792.86,1305.96
793.332,1284.05
793.802,1289.09
794.275,1278.5
794.745,1273.08
795.215,1257.36
795.688,1259.42
796.158,1242.13
796.63,1247.77
797.1,1235.75
797.571,1245.61
798.043,1252.97
798.513,1224.98
798.983,1233.82
799.455,1239.77
799.925,1243.32
800.395,1237.28
800.867,1221.84
801.337,1240.45
801.807,1234.54
802.279,1226.17
802.749,1239.15
803.219,1225.36
803.254,1224
803.73,1228
804.206,1235
804.682,1214
805.157,1211
805.633,1245
806.109,1225
806.584,1225
807.06,1210
807.536,1226
808.011,1212
808.487,1238
808.962,1229
809.438,1226
809.913,1215
810.389,1245
810.864,1235
811.339,1196
811.815,1239
812.29,1240
812.766,1232
813.241,1212
813.716,1219
814.191,1225
814.667,1216
815.142,1212
815.617,1212
816.092,1212
816.567,1208
817.042,1223
817.517,1196
817.992,1204
818.467,1202
818.94,1208
819.415,1220
819.89,1223
820.365,1210
820.84,1217
821.315,1210
821.79,1199
822.265,1209
822.737,1220
823.212,1215
823.687,1216
824.162,1238
824.636,1211
825.111,1223
825.584,1216
826.058,1206
826.533,1211
827.007,1214
827.482,1226
827.954,1223
