Raman Shift (1/cm),Intensity (Counts)
301.431,1156
301.759,1149
302.088,1165
302.416,1154
302.743,1144
303.072,1140
303.4,1149
303.729,1152
304.056,1156
304.384,1156
304.712,1154
305.039,1153
305.368,1158
305.696,1136
306.024,1157
306.351,1154
306.679,1140
307.008,1151
307.335,1149
307.663,1149
307.991,1142
308.318,1153
308.646,1150
308.974,1144
309.301,1155
309.629,1156
309.956,1158
310.284,1164
310.612,1130
310.939,1140
311.267,1157
311.593,1144
311.922,1156
312.25,1142
312.576,1146
312.904,1145
313.231,1138
313.559,1148
313.885,1140
314.213,1150
314.541,1148
314.868,1150
315.196,1164
315.522,1156
315.85,1163
316.176,1154
316.504,1161
316.831,1155
317.159,1152
317.485,1155
317.813,1142
318.139,1154
318.465,1160
318.793,1156
319.12,1152
319.447,1147
319.774,1147
320.101,1138
320.428,1162
320.755,1154
321.082,1156
321.408,1151
321.735,1154
322.062,1158
322.389,1142
322.715,1136
323.042,1144
323.369,1148
323.695,1154
324.021,1150
324.349,1142
324.675,1142
325.001,1151
325.329,1146
325.655,1148
325.981,1145
326.308,1155
326.634,1148
326.96,1153
327.287,1151
327.613,1156
327.939,1154
328.267,1136
328.593,1161
328.918,1142
329.244,1160
329.572,1161
329.898,1158
330.223,1160
330.549,1144
330.876,1165
331.202,1146
331.528,1151
331.854,1152
332.18,1148
332.507,1166
332.833,1147
333.158,1152
333.484,1154
333.81,1173
334.137,1144
334.462,1147
334.788,1154
335.114,1154
335.439,1150
335.765,1156
336.091,1157
336.418,1150
336.743,1155
337.069,1156
337.394,1146
337.72,1156
338.045,1154
338.371,1170
338.696,1152
339.022,1156
339.347,1152
339.673,1164
340,1144
340.325,1157
340.65,1143
340.976,1144
341.301,1138
341.626,1155
341.952,1169
342.277,1148
342.602,1152
342.928,1159
343.253,1154
343.578,1156
343.904,1164
344.229,1152
344.554,1159
344.879,1160
345.204,1140
345.53,1161
345.855,1139
346.179,1150
346.504,1161
346.829,1152
347.154,1146
347.479,1152
347.804,1161
348.129,1151
348.454,1163
348.779,1156
349.104,1168
349.43,1154
349.753,1177
350.078,1136
350.403,1140
350.728,1156
351.053,1165
351.378,1159
351.703,1152
352.026,1152
352.351,1159
352.676,1148
353.001,1154
353.326,1150
353.649,1152
353.974,1156
354.299,1155
354.624,1149
354.949,1157
355.272,1160
355.597,1147
355.921,1149
356.246,1148
356.569,1146
356.894,1152
357.219,1161
357.542,1154
357.867,1157
358.191,1140
358.516,1154
358.839,1164
359.164,1144
359.489,1149
359.812,1153
360.136,1152
360.461,1152
360.784,1147
361.108,1164
361.433,1140
361.756,1147
362.081,1149
362.405,1147
362.728,1150
363.052,1149
363.375,1165
363.7,1155
364.024,1154
364.347,1148
364.672,1162
364.995,1162
365.319,1160
365.643,1158
365.966,1142
366.291,1151
366.613,1146
366.938,1162
367.26,1160
367.585,1143
367.908,1167
368.232,1160
368.555,1164
368.879,1170
369.202,1140
369.526,1156
369.848,1154
370.173,1152
370.495,1146
370.819,1150
371.142,1151
371.466,1146
371.789,1159
372.113,1152
372.436,1174
372.76,1128
373.082,1152
373.405,1141
373.729,1157
374.051,1154
374.375,1152
374.698,1159
375.02,1150
375.344,1160
375.667,1153
375.991,1156
376.313,1144
376.635,1159
376.959,1160
377.282,1161
377.604,1170
377.928,1146
378.25,1132
378.573,1156
378.897,1162
379.219,1142
379.541,1139
379.863,1156
380.187,1138
380.509,1152
380.832,1150
381.155,1156
381.478,1148
381.8,1154
382.122,1155
382.446,1148
382.768,1160
383.09,1154
383.412,1150
383.736,1150
384.058,1158
384.38,1157
384.702,1151
385.024,1157
385.348,1153
385.67,1152
385.992,1140
386.314,1134
386.636,1168
386.958,1157
387.281,1156
387.603,1151
387.925,1162
388.247,1163
388.569,1150
388.891,1152
389.213,1152
389.535,1124
389.858,1151
390.18,1166
390.502,1142
390.824,1144
391.146,1167
391.467,1148
391.789,1162
392.111,1146
392.433,1136
392.755,1146
393.076,1148
393.398,1154
393.72,1157
394.042,1150
394.363,1157
394.685,1149
395.007,1166
395.328,1158
395.65,1156
395.971,1145
396.293,1146
396.615,1151
396.936,1144
397.258,1164
397.579,1160
397.901,1153
398.223,1158
398.544,1144
398.866,1152
399.187,1156
399.509,1148
399.83,1144
400.15,1160
400.471,1154
400.793,1158
401.114,1132
401.436,1163
401.757,1132
402.078,1158
402.4,1140
402.72,1159
403.041,1152
403.362,1155
403.684,1161
404.005,1147
404.326,1161
404.646,1146
404.967,1160
405.289,1158
405.61,1158
405.931,1157
406.251,1162
406.572,1136
406.893,1148
407.214,1154
407.534,1149
407.855,1156
408.176,1153
408.497,1162
408.817,1156
409.138,1142
409.459,1134
409.779,1164
410.1,1161
410.421,1136
410.742,1174
411.061,1166
411.382,1157
411.703,1153
412.023,1152
412.344,1162
412.665,1142
412.984,1154
413.305,1155
413.626,1149
413.945,1148
414.266,1169
414.586,1144
414.906,1152
415.227,1158
415.547,1149
415.867,1157
416.187,1147
416.508,1162
416.828,1164
417.148,1148
417.468,1154
417.788,1155
418.108,1154
418.428,1142
418.748,1159
419.067,1150
419.388,1142
419.707,1157
420.028,1156
420.347,1134
420.668,1146
420.987,1159
421.307,1138
421.627,1144
421.947,1128
422.266,1159
422.587,1164
422.906,1144
423.226,1124
423.545,1159
423.864,1152
424.185,1160
424.504,1136
424.824,1146
425.143,1175
425.464,1151
425.782,1142
426.101,1146
426.422,1140
426.741,1157
427.06,1148
427.38,1140
427.699,1143
428.019,1156
428.338,1168
428.657,1132
428.977,1158
429.296,1136
429.614,1130
429.933,1130
430.253,1155
430.572,1152
430.891,1152
431.211,1149
431.53,1151
431.848,1159
432.167,1154
432.487,1154
432.806,1159
433.125,1143
433.443,1150
433.763,1163
434.082,1148
434.4,1146
434.719,1158
435.039,1150
435.357,1138
435.676,1157
435.995,1151
436.313,1149
436.633,1156
436.951,1160
437.27,1158
437.588,1157
437.907,1143
438.225,1151
438.544,1142
438.863,1146
439.182,1161
439.5,1177
439.819,1150
440.137,1142
440.455,1141
440.774,1159
441.092,1151
441.41,1145
441.73,1150
442.048,1142
442.366,1156
442.685,1165
443.003,1147
443.321,1167
443.639,1160
443.958,1120
444.276,1152
444.594,1166
444.912,1150
445.23,1146
445.548,1136
445.866,1142
446.184,1148
446.503,1157
446.821,1154
447.139,1144
447.457,1156
447.775,1140
448.093,1156
448.411,1150
448.729,1161
449.045,1142
449.363,1155
449.681,1148
449.999,1158
450.317,1149
450.635,1147
450.953,1156
451.271,1143
451.589,1158
451.906,1154
452.223,1167
452.541,1152
452.859,1144
453.176,1162
453.494,1147
453.812,1157
454.128,1144
454.446,1158
454.764,1159
455.081,1154
455.399,1146
455.715,1134
456.033,1157
456.351,1150
456.668,1151
456.986,1149
457.302,1148
457.62,1142
457.938,1153
458.255,1150
458.571,1152
458.889,1154
459.206,1147
459.524,1152
459.84,1152
460.158,1152
460.475,1148
460.791,1168
461.109,1156
461.426,1156
461.742,1155
462.06,1155
462.377,1137
462.693,1154
463.01,1166
463.328,1158
463.644,1154
463.961,1150
464.277,1146
464.594,1142
464.912,1151
465.227,1134
465.545,1160
465.861,1153
466.178,1161
466.495,1149
466.811,1168
467.128,1166
467.444,1144
467.761,1158
468.077,1161
468.394,1148
468.71,1149
469.027,1138
469.344,1145
469.66,1150
469.977,1138
470.293,1140
470.61,1138
470.925,1157
471.241,1156
471.558,1166
471.873,1145
472.19,1160
472.506,1157
472.823,1159
473.139,1158
473.456,1157
473.771,1146
474.088,1157
474.404,1155
474.719,1156
475.036,1154
475.351,1145
475.668,1146
475.984,1147
476.299,1146
476.616,1165
476.931,1138
477.247,1158
477.563,1168
477.879,1149
478.194,1161
478.511,1148
478.826,1162
479.142,1159
479.458,1134
479.774,1155
480.089,1152
480.405,1158
480.721,1151
481.036,1156
481.351,1150
481.668,1146
481.983,1146
482.298,1157
482.613,1154
482.93,1146
483.245,1144
483.56,1157
483.875,1153
484.192,1149
484.507,1161
484.822,1146
485.137,1168
485.452,1160
485.767,1152
486.083,1147
486.398,1150
486.713,1160
487.028,1132
487.343,1155
487.658,1143
487.975,1146
488.29,1154
488.604,1144
488.919,1147
489.234,1152
489.549,1162
489.864,1158
490.179,1161
490.494,1155
490.81,1154
491.125,1167
491.44,1156
491.754,1139
492.069,1162
492.384,1144
492.699,1146
493.013,1154
493.328,1147
493.643,1167
493.957,1140
494.272,1150
494.587,1150
494.901,1154
495.216,1152
495.531,1148
495.845,1130
496.16,1148
496.474,1152
496.789,1134
497.104,1154
497.418,1132
497.733,1126
498.046,1140
498.36,1157
498.675,1156
498.989,1138
499.304,1156
499.618,1165
499.933,1147
500.247,1148
500.561,1160
500.876,1155
501.189,1151
501.503,1171
501.818,1152
502.132,1152
502.446,1156
502.761,1132
503.073,1144
503.388,1157
503.702,1150
504.016,1159
504.331,1147
504.643,1156
504.958,1149
505.272,1157
505.586,1152
505.9,1158
506.213,1149
506.527,1146
506.841,1126
507.155,1144
507.468,1153
507.782,1158
508.096,1142
508.409,1146
508.723,1142
509.037,1164
509.351,1165
509.664,1150
509.978,1140
510.292,1145
510.605,1146
510.919,1150
511.233,1151
511.545,1144
511.859,1143
512.172,1148
512.485,1144
512.799,1136
513.112,1160
513.426,1150
513.74,1130
514.052,1140
514.366,1144
514.678,1152
514.992,1151
515.305,1154
515.618,1150
515.932,1145
516.244,1163
516.558,1140
516.87,1141
517.184,1138
517.497,1149
517.81,1154
518.122,1138
518.436,1151
518.748,1142
519.062,1146
519.374,1138
519.688,1146
520,1136
520.314,1149
520.626,1150
520.94,1140
521.252,1140
521.564,1143
521.877,1142
522.189,1148
522.503,1159
522.815,1148
523.127,1141
523.441,1150
523.753,1138
524.066,1150
524.378,1147
524.69,1131
525.003,1152
525.315,1157
525.627,1142
525.941,1132
526.253,1154
526.565,1142
526.878,1151
527.19,1151
527.502,1152
527.815,1148
528.127,1137
528.439,1153
528.752,1148
529.064,1142
529.376,1157
529.688,1155
530.001,1144
530.312,1136
530.624,1149
530.936,1149
531.249,1149
531.561,1150
531.873,1144
532.184,1143
532.497,1144
532.809,1154
533.121,1159
533.432,1144
533.744,1128
534.056,1164
534.369,1152
534.68,1146
534.992,1142
535.303,1146
535.615,1154
535.926,1134
536.239,1152
536.551,1157
536.862,1142
537.174,1137
537.485,1162
537.797,1166
538.108,1146
538.42,1154
538.731,1144
539.043,1150
539.354,1148
539.665,1152
539.978,1143
540.29,1157
540.601,1156
540.912,1144
541.224,1152
541.535,1152
541.846,1158
542.157,1150
542.469,1157
542.78,1148
543.091,1133
543.403,1150
543.714,1154
544.025,1150
544.336,1139
544.646,1144
544.957,1154
545.268,1154
545.579,1152
545.891,1122
546.202,1148
546.513,1154
546.824,1162
547.135,1158
547.446,1153
547.757,1141
548.067,1155
548.378,1143
548.689,1156
549,1144
549.311,1142
549.622,1146
549.933,1159
550.242,1147
550.553,1147
550.864,1150
551.175,1140
551.486,1144
551.795,1142
552.106,1118
552.417,1142
552.728,1155
553.039,1155
553.348,1149
553.659,1150
553.97,1144
554.281,1142
554.59,1152
554.901,1138
555.212,1132
555.521,1158
555.832,1147
556.142,1141
556.453,1132
556.762,1144
557.073,1145
557.384,1133
557.693,1134
558.004,1150
558.314,1134
558.623,1138
558.934,1136
559.245,1140
559.554,1144
559.864,1144
560.174,1148
560.484,1142
560.795,1157
561.104,1141
561.414,1141
561.723,1140
562.034,1128
562.344,1138
562.653,1148
562.964,1146
563.273,1131
563.583,1138
563.892,1144
564.202,1136
564.511,1168
564.822,1147
565.131,1136
565.441,1157
565.75,1138
566.06,1130
566.369,1149
566.68,1146
566.988,1148
567.299,1162
567.607,1149
567.918,1142
568.227,1150
568.537,1148
568.845,1132
569.154,1143
569.464,1143
569.773,1167
570.083,1140
570.392,1148
570.701,1153
571.011,1157
571.32,1130
571.63,1135
571.938,1144
572.247,1145
572.557,1128
572.866,1138
573.174,1140
573.484,1145
573.793,1144
574.101,1128
574.411,1130
574.72,1142
575.028,1149
575.338,1146
575.647,1143
575.955,1141
576.264,1136
576.574,1151
576.882,1137
577.191,1137
577.499,1145
577.809,1134
578.117,1138
578.426,1145
578.734,1132
579.044,1129
579.352,1146
579.661,1151
579.969,1132
580.277,1142
580.586,1141
580.895,1134
581.204,1148
581.512,1149
581.82,1144
582.128,1130
582.437,1147
582.746,1142
583.054,1124
583.363,1142
583.671,1134
583.979,1133
584.287,1132
584.595,1134
584.903,1134
585.212,1150
585.52,1151
585.828,1145
586.137,1140
586.445,1131
586.753,1144
587.061,1136
587.369,1148
587.677,1139
587.985,1130
588.293,1136
588.601,1148
588.909,1139
589.217,1149
589.525,1139
589.833,1136
590.141,1146
590.449,1148
590.757,1128
591.065,1134
591.371,1156
591.679,1153
591.987,1142
592.295,1153
592.603,1146
592.911,1138
593.218,1130
593.526,1138
593.834,1146
594.142,1133
594.449,1134.03
594.756,1136.06
595.063,1135.58
595.371,1143.87
595.679,1148.99
595.987,1131.17
596.294,1137.55
596.6,1152.84
596.908,1140.5
597.216,1146.14
597.523,1154.31
597.831,1149.97
598.137,1141.33
598.445,1138.36
598.752,1140.23
599.06,1138.89
599.367,1137.81
599.674,1139.57
599.981,1150.44
600.289,1143.39
600.596,1133.44
600.902,1145.35
601.21,1146.61
601.517,1139.59
601.823,1147.5
602.131,1141.83
602.438,1142.48
602.745,1136.92
603.051,1141.79
603.359,1142.51
603.666,1143.75
603.972,1137.39
604.279,1148.32
604.587,1137.26
604.893,1149.81
605.2,1138.64
605.507,1140.9
605.813,1140.65
606.12,1143.04
606.426,1148.78
606.734,1141.15
607.041,1146.77
607.347,1139.6
607.654,1135.47
607.96,1135.65
608.267,1148.14
608.573,1148.21
608.88,1144.27
609.187,1146.76
609.493,1145.77
609.8,1141.75
610.105,1141.48
610.413,1150.13
610.718,1143.6
611.025,1138.03
611.331,1144.9
611.638,1136.88
611.944,1137.76
612.251,1144.1
612.556,1141.25
612.863,1138.13
613.169,1143.57
613.476,1140.85
613.781,1144.36
614.087,1150.43
614.394,1149.94
614.699,1148.45
615.006,1148.02
615.312,1144.36
615.619,1146.57
615.924,1134.98
616.23,1134.1
616.536,1143.11
616.842,1143.63
617.149,1136.81
617.454,1142.95
617.76,1146.68
618.066,1143.18
618.372,1136.94
618.677,1134.46
618.984,1136.31
619.289,1138.72
619.594,1148.36
619.901,1136.15
620.207,1140.65
620.512,1146.37
620.818,1141.53
621.124,1135.91
621.429,1128.15
621.734,1150.04
622.041,1144.49
622.346,1145.36
622.651,1150.6
622.956,1141.03
623.263,1144.44
623.568,1133.32
623.873,1137.65
624.179,1143.63
624.485,1149.4
624.79,1140.33
625.095,1151.37
625.4,1148.18
625.455,1147
625.764,1143
626.074,1152
626.384,1146
626.694,1128
627.004,1134
627.314,1151
627.623,1130
627.933,1136
628.243,1141
628.553,1153
628.862,1138
629.172,1130
629.482,1151
629.791,1143
630.1,1139
630.411,1132
630.72,1142
631.029,1148
631.339,1136
631.648,1143
631.958,1142
632.268,1137
632.577,1142
632.886,1148
633.196,1148
633.505,1138
633.814,1137
634.123,1142
634.434,1142
634.743,1139
635.051,1137
635.36,1145
635.671,1122
635.979,1140
636.288,1124
636.597,1147
636.906,1142
637.216,1146
637.525,1135
637.834,1132
638.143,1137
638.451,1136
638.762,1148
639.07,1134
639.379,1148
639.688,1135
639.997,1130
640.305,1136
640.614,1131
640.924,1134
641.233,1134
641.541,1149
641.85,1139
642.159,1131
642.467,1146
642.776,1148
643.084,1140
643.393,1128
643.702,1133
644.01,1148
644.32,1141
644.629,1138
644.937,1135
645.246,1139
645.554,1137
645.863,1138
646.171,1148
646.479,1138
646.788,1145
647.096,1124
647.405,1142
647.713,1129
648.021,1118
648.33,1138
648.638,1132
648.947,1136
649.255,1144
649.563,1138
649.872,1140
650.178,1136
650.487,1135
650.795,1153
651.103,1128
651.412,1129
651.72,1122
652.028,1127
652.336,1142
652.644,1134
652.953,1148
653.259,1137
653.568,1140
653.876,1135
654.184,1149
654.492,1137
654.8,1140
655.108,1144
655.415,1132
655.723,1132
656.031,1142
656.339,1136
656.647,1134
656.954,1146
657.262,1128
657.57,1123
657.878,1159
658.186,1143
658.492,1147
658.8,1127
659.108,1129
659.416,1140
659.723,1138
660.03,1132
660.338,1146
660.646,1140
660.953,1145
661.26,1149
661.568,1122
661.875,1146
662.183,1130
662.49,1142
662.797,1128
663.104,1139
663.412,1139
663.719,1133
664.026,1153
664.334,1124
664.64,1137
664.948,1143
665.256,1142
665.562,1143
665.87,1137
666.177,1144
666.484,1132
666.791,1146
667.097,1136
667.405,1146
667.711,1137
668.019,1144
668.326,1133
668.633,1144
668.94,1144
669.246,1130
669.554,1141
669.86,1137
670.167,1148
670.473,1141
670.781,1128
671.087,1144
671.394,1129
671.7,1137
672.008,1132
672.314,1140
672.621,1136
672.927,1142
673.234,1143
673.54,1146
673.848,1127
674.154,1134
674.461,1143
674.767,1146
675.073,1135
675.38,1149
675.686,1132
675.993,1126
676.299,1140
676.605,1144
676.912,1129
677.218,1138
677.525,1135
677.831,1135
678.137,1145
678.444,1110
678.749,1122
679.055,1134
679.362,1141
679.668,1125
679.974,1140
680.281,1130
680.586,1132
680.892,1140
681.199,1136
681.505,1135
681.81,1136
682.116,1141
682.423,1144
682.729,1140
683.034,1134
683.34,1144
683.647,1132
683.952,1135
684.258,1142
684.563,1136
684.87,1150
685.176,1147
685.481,1143
685.786,1128
686.092,1148
686.399,1140
686.704,1140
687.01,1150
687.315,1140
687.62,1144
687.926,1138
688.232,1145
688.538,1136
688.843,1148
689.148,1120
689.454,1132
689.759,1146
690.064,1138
690.37,1132
690.676,1143
690.982,1140
691.287,1138
691.592,1134
691.897,1137
692.202,1140
692.508,1133
692.813,1130
693.118,1131
693.423,1142
693.728,1145
694.033,1139
694.338,1146
694.643,1142
694.949,1144
695.254,1136
695.559,1132
695.864,1152
696.169,1139
696.474,1146
