Raman Shift (1/cm),Intensity (Counts)
302.468,1406
302.977,1398
303.486,1418
303.995,1441
304.503,1417
305.012,1412
305.521,1411
306.03,1448
306.538,1420
307.047,1430
307.556,1436
308.064,1403
308.573,1422
309.082,1380
309.59,1420
310.097,1416
310.605,1417
311.114,1430
311.622,1406
312.13,1428
312.639,1416
313.147,1413
313.655,1424
314.164,1418
314.672,1448
315.18,1440
315.686,1423
316.195,1427
316.703,1408
317.211,1423
317.719,1441
318.227,1386
318.735,1420
319.241,1414
319.749,1429
320.257,1409
320.765,1437
321.273,1428
321.781,1447
322.287,1398
322.794,1430
323.302,1410
323.81,1415
324.318,1407
324.823,1440
325.331,1406
325.839,1420
326.346,1412
326.852,1426
327.359,1417
327.867,1406
328.374,1421
328.88,1429
329.387,1442
329.895,1418
330.402,1420
330.907,1428
331.415,1425
331.922,1409
332.429,1446
332.935,1434
333.442,1421
333.949,1428
334.454,1437
334.961,1432
335.468,1428
335.973,1441
336.481,1444
336.988,1423
337.493,1426
338,1396
338.506,1423
339.011,1425
339.518,1441
340.023,1419
340.53,1442
341.037,1425
341.541,1435
342.048,1416
342.555,1449
343.06,1471
343.566,1398
344.071,1450
344.577,1441
345.082,1444
345.589,1394
346.095,1411
346.6,1453
347.106,1462
347.61,1426
348.117,1426
348.621,1430
349.128,1440
349.632,1444
350.138,1459
350.642,1424
351.149,1428
351.653,1426
352.159,1445
352.663,1420
353.169,1442
353.673,1445
354.179,1434
354.683,1408
355.189,1411
355.693,1426
356.199,1439
356.703,1418
357.209,1447
357.713,1454
358.219,1449
358.723,1433
359.226,1447
359.732,1424
360.236,1426
360.742,1447
361.245,1434
361.751,1423
362.255,1434
362.758,1452
363.264,1423
363.767,1431
364.271,1482
364.776,1430
365.28,1442
365.785,1446
366.289,1428
366.792,1426
367.297,1440
367.801,1434
368.304,1462
368.809,1452
369.312,1424
369.815,1440
370.321,1423
370.824,1441
371.327,1451
371.83,1452
372.335,1424
372.838,1444
373.341,1446
